id,sea_skill,tp_skill
TGS-2008500095,"['Creative Entrepreneurship', 'Creative Thinking']",['Vision Leadership']
TGS-2009500052,"['Health, Safety And Environment Procedures Implementation', 'Joining And Welding', 'Workplace Safety And Health For Welding', 'Workplace Safety And Health']",['Workplace Safety And Health For Welding']
TGS-2009500218,"['Single Stack Medium Forklift Operations', 'Workplace Safety And Health For Forklift Operations', 'Workplace Safety And Health']",['Workplace Safety And Health For Forklift Operations']
TGS-2009500219,"['Rigging And Signalling', 'Workplace Safety And Health']",['Lift Planning And Management']
TGS-2009500223,"['Joining And Welding', 'Workplace Safety And Health For Welding', 'Workplace Safety And Health']",['Workplace Safety And Health For Welding']
TGS-2009500230,"['Scaffolding', 'Erect Metal Scaffold In Marine Industry', 'Workplace Safety And Health', 'Workplace Safety And Health Management In Marine Industry']",['Scaffolding']
TGS-2009500231,['Rigging And Signalling'],['Lift Planning And Management']
TGS-2009501732,"['Workplace Safety And Health For Marine Electrical Installation', 'Workplace Safety And Health', 'Workplace Safety And Health Management In Marine Industry']",['Workplace Safety And Health For Marine Electrical Installation']
TGS-2009501733,"['Workplace Safety And Health For Marine Mechanical Installation', 'Workplace Safety And Health', 'Workplace Safety And Health Management In Marine Industry']",['Workplace Safety And Health For Marine Mechanical Installation']
TGS-2009501734,"['Workplace Safety And Health For Steel Fitting', 'Workplace Safety And Health']",['Workplace Safety And Health For Steel Fitting']
TGS-2009501759,"['Workplace Safety And Health For Marine Electrical Installation', 'Workplace Safety And Health', 'Workplace Safety And Health Management In Marine Industry']",['Workplace Safety And Health For Marine Electrical Installation']
TGS-2010506595,['Computer-Aided Design'],['Computer-Aided Design']
TGS-2010506596,"['Manufacturing Technology', 'Cutting']",['Machining']
TGS-2010506600,"['Computer Numeric Control Operations', 'Machining']",['Computer-Aided Manufacturing']
TGS-2010506767,"['Workplace Safety And Health For Steel Fitting', 'Workplace Safety And Health']",['Workplace Safety And Health For Steel Fitting']
TGS-2011501097,"['Valuation', 'Workplace Health Management']","['Noise And Vibration Monitoring', 'Workplace Health Management', 'Hazardous Substances Management', 'Exposure And Risk Measurement', 'Noise And Vibration Control', 'Biological Hazards Management', 'Hazardous Substances Impact Evaluation', 'Technical Writing', 'Ergonomics Hazards Management', 'Thermal Stressors Management']"
TGS-2012500199,['Business Planning'],['Vision Leadership']
TGS-2012500214,['Self Management'],['Continuous Process Improvement']
TGS-2012500215,['Apply Teamwork In The Workplace'],['Apply Teamwork In The Workplace']
TGS-2012500216,['Workplace Safety And Health'],"['Hazards And Risk Control, And Policy Management']"
TGS-2012500217,['Quality Systems'],['Quality System Management']
TGS-2012500218,"['Practice Supervision', 'Continuous Process Improvement', 'System And Work Process Improvement', 'Process Improvement']",['Continuous Process Improvement']
TGS-2012500220,"['Risk And Compliance Management', 'Risk Management', 'Workplace Safety And Health Hazard Identification And Risk Control Management', 'Risk Control And Response Planning', 'Health, Safety And Environment Procedures Implementation', 'Workplace Safety And Health Control Measures', 'Workplace Safety And Health']",['Workplace Safety And Health Practices Implementation']
TGS-2012500221,"['Quality Systems', 'Quality Assurance', 'Decision Making', 'Process Quality Management', 'Big Data Analytics']",['Quality System Management']
TGS-2012500788,['Noise And Vibration Monitoring'],['Noise And Vibration Monitoring']
TGS-2012500789,"['Risk Assessment', 'Health, Safety And Nutrition', 'Workplace Health Management']",['Workplace Health Management']
TGS-2012500790,"['Organisational Risk Management', 'Valuation', 'Risk Management']",['Ergonomics Hazards Management']
TGS-2012500793,"['Big Data Analytics', 'Technical Report Writing']",['Technical Writing']
TGS-2012500794,"['Emergency Management', 'Confined Space Management', 'Confined Space Work', 'Perform Manhole Safety Assessment', 'Hazards Identification']",['Confined Space Management']
TGS-2012500868,"['Valuation', 'Confined Space Work', 'Decision Making', 'Workplace Health Management']","['Thermal Stressors Management', 'Confined Space Management', 'Noise And Vibration Monitoring', 'Hazardous Substances Management', 'Workplace Health Management', 'Noise And Vibration Control', 'Hazardous Substances Impact Evaluation', 'Technical Writing', 'Ergonomics Hazards Management', 'Exposure And Risk Measurement']"
TGS-2012500875,"['Risk Management', 'Hazards And Risk Identification And Management']",['Hazardous Substances Management']
TGS-2012500897,"['Valuation', 'Communication', 'Documentation', 'Strategy Development', 'Business Opportunities Development']",['Business Negotiation']
TGS-2012500973,"['Risk Management', 'Risk And Compliance Management', 'Workplace Safety And Health Hazard Identification And Risk Control Management', 'Risk Control And Response Planning', 'Risk Management And Administration', 'Valuation', 'Risk Assessment', 'Communication', 'Hazard And Risk Identification And Management', 'Workplace Safety And Health Control Measures', 'Workplace Safety And Health', 'Audit And Compliance', 'Legal And Compliance Management', 'Risk Advisory', 'Hazards Identification']",['Workplace Safety And Health Control Measures']
TGS-2012500974,"['Risk Management', 'Risk And Compliance Management', 'Workplace Safety And Health Hazard Identification And Risk Control Management', 'Risk Management And Administration', 'Valuation', 'Communication', 'Risk Assessment', 'Hazard And Risk Identification And Management', 'Workplace Safety And Health Control Measures', 'Workplace Safety And Health', 'Legal And Compliance Management', 'Hazards Identification']",['Workplace Safety And Health Control Measures']
TGS-2012500975,"['Risk Management', 'Risk And Compliance Management', 'Workplace Safety And Health Hazard Identification And Risk Control Management', 'Risk Control And Response Planning', 'Risk Management And Administration', 'Communication', 'Risk Assessment', 'Hazard And Risk Identification And Management', 'Workplace Safety And Health Control Measures', 'Workplace Safety And Health', 'Legal And Compliance Management', 'Hazards Identification']",['Workplace Safety And Health Control Measures']
TGS-2012500979,"['Risk Management', 'Risk And Compliance Management', 'Workplace Safety And Health Hazard Identification And Risk Control Management', 'Risk Management And Administration', 'Communication', 'Risk Assessment', 'Hazard And Risk Identification And Management', 'Workplace Safety And Health Control Measures', 'Workplace Safety And Health', 'Hazards Identification']",['Workplace Safety And Health Control Measures']
TGS-2012500980,"['Risk Management', 'Risk And Compliance Management', 'Workplace Safety And Health Hazard Identification And Risk Control Management', 'Risk Control And Response Planning', 'Risk Management And Administration', 'Risk Assessment', 'Hazard And Risk Identification And Management', 'Workplace Safety And Health Control Measures', 'Workplace Safety And Health', 'Legal And Compliance Management', 'Hazards Identification']",['Workplace Safety And Health Control Measures']
TGS-2012500981,"['Communication', 'Risk Assessment', 'Emergency Management', 'Confined Space Management', 'Confined Space Work', 'Perform Manhole Safety Assessment', 'Emergency Response Planning']",['Confined Space Management']
TGS-2012500983,"['Risk Management', 'Valuation', 'Communication', 'Hazard And Risk Identification And Management', 'Hazards Identification']",['Workplace Safety And Health Control Measures']
TGS-2012500984,"['Risk Management', 'Risk And Compliance Management', 'Risk Control And Response Planning', 'Risk Management And Administration', 'Communication', 'Risk Assessment', 'Hazard And Risk Identification And Management', 'Hazards Identification']",['Workplace Safety And Health Control Measures']
TGS-2012500986,"['Risk Management', 'Risk And Compliance Management', 'Workplace Safety And Health Hazard Identification And Risk Control Management', 'Risk Management And Administration', 'Risk Assessment', 'Workplace Safety And Health']",['Workplace Safety And Health Control Measures']
TGS-2012500990,['Risk Management'],['Workplace Safety And Health Control Measures']
TGS-2012500994,"['Risk Management', 'Risk Management And Administration', 'Risk Assessment']",['Workplace Safety And Health Control Measures']
TGS-2012500995,"['Risk Management', 'Risk And Compliance Management', 'Workplace Safety And Health Hazard Identification And Risk Control Management', 'Risk Management And Administration', 'Workplace Safety And Health For Incident And Accident Investigation', 'Workplace Safety And Health For Fire Prevention And Fire Fighting', 'Risk Assessment', 'First-Aid', 'Workplace Safety And Health Management In Chemical, Process, Pharmaceutical Industries And Laboratories', 'Fire Prevention And Firefighting', 'Workplace Safety And Health Control Measures', 'Workplace Safety And Health']",['Workplace Safety And Health Control Measures']
TGS-2012501003,"['Risk Management', 'Risk And Compliance Management', 'Workplace Safety And Health Hazard Identification And Risk Control Management', 'Risk Control And Response Planning', 'Risk Management And Administration', 'Communication', 'Risk Assessment', 'Workplace Safety And Health Control Measures', 'Workplace Safety And Health', 'Legal And Compliance Management']",['Workplace Safety And Health Control Measures']
TGS-2012501004,"['Risk Management', 'Risk And Compliance Management', 'Workplace Safety And Health Hazard Identification And Risk Control Management', 'Risk Control And Response Planning', 'Risk Management And Administration', 'Risk Assessment', 'Hazard And Risk Identification And Management', 'Workplace Safety And Health Control Measures', 'Workplace Safety And Health', 'Hazards Identification']",['Workplace Safety And Health Control Measures']
TGS-2012501028,"['Risk And Compliance Management', 'Risk Management And Administration', 'Risk Assessment', 'Risk Management']",['Workplace Safety And Health Control Measures']
TGS-2012501035,"['Emergency Management', 'Confined Space Management', 'Confined Space Work', 'Perform Manhole Safety Assessment', 'Hazards Identification']",['Confined Space Management']
TGS-2012501045,"['Risk Management', 'Risk And Compliance Management', 'Workplace Safety And Health Hazard Identification And Risk Control Management', 'Risk Management And Administration', 'Risk Assessment', 'Workplace Safety And Health']",['Workplace Safety And Health Control Measures']
TGS-2012501054,"['Risk Management', 'Risk And Compliance Management', 'Workplace Safety And Health Hazard Identification And Risk Control Management', 'Risk Control And Response Planning', 'Risk Management And Administration', 'Risk Assessment', 'Hazard And Risk Identification And Management', 'Workplace Safety And Health Control Measures', 'Workplace Safety And Health', 'Hazards Identification']",['Workplace Safety And Health Control Measures']
TGS-2012501071,"['Risk Management', 'Risk And Compliance Management', 'Risk Control And Response Planning', 'Risk Management And Administration', 'Risk Assessment', 'Hazard And Risk Identification And Management', 'Hazards Identification']",['Workplace Safety And Health Control Measures']
TGS-2012501093,"['Risk Management', 'Valuation', 'Communication', 'Hazard And Risk Identification And Management', 'Hazards Identification', 'Change Management']",['Workplace Safety And Health Control Measures']
TGS-2012501095,"['Emergency Management', 'Confined Space Management', 'Confined Space Work', 'Perform Manhole Safety Assessment', 'Hazards Identification']",['Confined Space Management']
TGS-2012501097,"['Risk Management', 'Valuation', 'Communication', 'Hazard And Risk Identification And Management', 'Hazards Identification']",['Workplace Safety And Health Control Measures']
TGS-2012501104,"['Risk Management', 'Workplace Safety And Health Hazard Identification And Risk Control Management', 'Workplace Safety And Health']",['Workplace Safety And Health Control Measures']
TGS-2012501109,"['Risk Management', 'Risk And Compliance Management', 'Workplace Safety And Health Hazard Identification And Risk Control Management', 'Risk Control And Response Planning', 'Risk Management And Administration', 'Communication', 'Risk Assessment', 'Workplace Safety And Health Control Measures', 'Workplace Safety And Health']",['Workplace Safety And Health Control Measures']
TGS-2012501110,"['Risk Management', 'Risk And Compliance Management', 'Risk Control And Response Planning', 'Risk Management And Administration', 'Risk Assessment', 'Hazard And Risk Identification And Management', 'Hazards Identification']",['Workplace Safety And Health Control Measures']
TGS-2012501114,"['Emergency Management', 'Confined Space Management', 'Confined Space Work', 'Perform Manhole Safety Assessment', 'Hazards Identification']",['Confined Space Management']
TGS-2012501118,"['Risk Management', 'Workplace Safety And Health Management In Chemical, Process, Pharmaceutical Industries And Laboratories', 'Hazards And Risk Identification And Management']",['Hazardous Substances Management']
TGS-2012501122,"['Risk Management', 'Workplace Safety And Health Hazard Identification And Risk Control Management', 'Workplace Safety And Health', 'Emergency Response Planning']",['Workplace Safety And Health System Management']
TGS-2012501123,"['Risk Management', 'Process Development Management', 'Workplace Safety And Health Hazard Identification And Risk Control Management', 'Workplace Safety And Health For Incident And Accident Investigation', 'Risk Management And Administration', 'Risk Assessment', 'Workplace Safety And Health Audit Programme Management', 'Hazard And Risk Identification And Management', 'Conduct And Behaviour Management', 'Internal Audit Function Management', 'Workplace Safety And Health', 'Emergency Response Planning', 'Workplace Safety And Health System Management', 'Hazards Identification']",['Workplace Safety And Health System Management']
TGS-2012501132,"['Risk Management', 'Workplace Safety And Health Hazard Identification And Risk Control Management', 'Workplace Safety And Health', 'Emergency Response Planning']",['Workplace Safety And Health System Management']
TGS-2012501136,"['Risk And Compliance Management', 'Risk Management And Administration', 'Risk Assessment', 'Risk Management']",['Workplace Safety And Health Control Measures']
TGS-2012501137,"['Risk Management', 'Workplace Safety And Health Hazard Identification And Risk Control Management', 'Workplace Safety And Health For Incident And Accident Investigation', 'Risk Management And Administration', 'Risk Assessment', 'Workplace Safety And Health Audit Programme Management', 'Hazard And Risk Identification And Management', 'Workplace Safety And Health Control Measures', 'Internal Audit Function Management', 'Workplace Safety And Health', 'Emergency Response Planning', 'Hazards Identification']",['Workplace Safety And Health System Management']
TGS-2012501145,"['Risk Management', 'Workplace Safety And Health Hazard Identification And Risk Control Management', 'Workplace Safety And Health', 'Emergency Response Planning', 'Workplace Safety And Health System Management']",['Workplace Safety And Health System Management']
TGS-2012501146,"['Risk Management', 'Risk And Compliance Management', 'Workplace Safety And Health Hazard Identification And Risk Control Management', 'Workplace Safety And Health For Incident And Accident Investigation', 'Risk Management And Administration', 'Valuation', 'Risk Assessment', 'Process Development Management', 'Workplace Safety And Health Audit Programme Management', 'Hazard And Risk Identification And Management', 'Communication', 'Documentation', 'Internal Audit Function Management', 'Workplace Safety And Health', 'Emergency Response Planning', 'Audit And Compliance', 'Hazards Identification']",['Workplace Safety And Health System Management']
TGS-2012501166,"['Risk Management', 'Risk And Compliance Management', 'Workplace Safety And Health Hazard Identification And Risk Control Management', 'Workplace Safety And Health For Incident And Accident Investigation', 'Risk Management And Administration', 'Valuation', 'Risk Assessment', 'Process Development Management', 'Workplace Safety And Health Audit Programme Management', 'Hazard And Risk Identification And Management', 'Communication', 'Documentation', 'Conduct And Behaviour Management', 'Internal Audit Function Management', 'Workplace Safety And Health', 'Emergency Response Planning', 'Audit And Compliance', 'Hazards Identification']",['Workplace Safety And Health System Management']
TGS-2013500099,"['Risk Management', 'Process Development Management', 'Workplace Safety And Health Hazard Identification And Risk Control Management', 'Workplace Safety And Health For Incident And Accident Investigation', 'Risk Management And Administration', 'Risk Assessment', 'Workplace Safety And Health Audit Programme Management', 'Hazard And Risk Identification And Management', 'Conduct And Behaviour Management', 'Internal Audit Function Management', 'Workplace Safety And Health', 'Emergency Response Planning', 'Hazards Identification']",['Workplace Safety And Health System Management']
TGS-2013500113,"['Risk Management', 'Risk And Compliance Management', 'Workplace Safety And Health Hazard Identification And Risk Control Management', 'Risk Control And Response Planning', 'Risk Management And Administration', 'Risk Assessment', 'Hazard And Risk Identification And Management', 'Workplace Safety And Health Control Measures', 'Workplace Safety And Health', 'Legal And Compliance Management', 'Hazards Identification']",['Workplace Safety And Health Control Measures']
TGS-2013500162,"['Risk Management', 'Valuation', 'Risk Management And Administration', 'Risk Assessment', 'Health, Safety And Nutrition']",['Exposure And Risk Measurement']
TGS-2013500163,['Noise And Vibration Monitoring'],['Noise And Vibration Monitoring']
TGS-2013500164,['Noise And Vibration Control'],['Noise And Vibration Control']
TGS-2013500204,"['Emergency Management', 'Confined Space Management', 'Confined Space Work', 'Perform Manhole Safety Assessment', 'Emergency Response Planning']",['Confined Space Management']
TGS-2013500214,"['Risk Management', 'Valuation', 'Risk Control And Response Planning', 'Risk Management And Administration', 'Communication', 'Risk Assessment', 'Hazard And Risk Identification And Management', 'Hazards Identification']",['Workplace Safety And Health Control Measures']
TGS-2013500238,"['Risk Management', 'Risk And Compliance Management', 'Workplace Safety And Health Hazard Identification And Risk Control Management', 'Risk Management And Administration', 'Communication', 'Risk Assessment', 'Hazard And Risk Identification And Management', 'Workplace Safety And Health Control Measures', 'Workplace Safety And Health', 'Hazards Identification']",['Workplace Safety And Health Control Measures']
TGS-2013500250,['Marketing Strategy'],['Customer Behaviour Analysis']
TGS-2013500259,['Noise And Vibration Monitoring'],['Noise And Vibration Monitoring']
TGS-2013500270,['Noise And Vibration Control'],['Noise And Vibration Control']
TGS-2013500289,"['Risk Management', 'Risk And Compliance Management', 'Workplace Safety And Health Hazard Identification And Risk Control Management', 'Workplace Safety And Health For Incident And Accident Investigation', 'Valuation', 'Process Development Management', 'Communication', 'Workplace Safety And Health Audit Programme Management', 'Documentation', 'Conduct And Behaviour Management', 'Internal Audit Function Management', 'Workplace Safety And Health', 'Emergency Response Planning', 'Audit And Compliance']",['Workplace Safety And Health System Management']
TGS-2013500452,"['Risk Management', 'Risk And Compliance Management', 'Valuation', 'Risk Control And Response Planning', 'Risk Management And Administration', 'Communication', 'Risk Assessment', 'Hazard And Risk Identification And Management']",['Workplace Safety And Health Control Measures']
TGS-2013500537,['Noise And Vibration Monitoring'],['Noise And Vibration Monitoring']
TGS-2013500538,"['Noise And Vibration Control', 'Workplace Safety And Health']",['Noise And Vibration Control']
TGS-2013500693,"['Workplace Safety And Health Hazard Identification And Risk Control Management', 'Risk Assessment', 'Workplace Safety And Health', 'Practice Supervision', 'Hazards Identification']","['Workplace Safety And Health Management In Chemical, Process, Pharmaceutical Industries And Laboratories']"
TGS-2013500696,"['Workplace Safety And Health Hazard Identification And Risk Control Management', 'Workplace Safety And Health For Incident And Accident Investigation', 'Risk Assessment', 'Workplace Safety And Health Control Measures', 'Workplace Safety And Health', 'Practice Supervision', 'Incident And Accident Investigation', 'Hazards Identification']","['Workplace Safety And Health Management In Chemical, Process, Pharmaceutical Industries And Laboratories']"
TGS-2013500733,"['Workplace Safety And Health Hazard Identification And Risk Control Management', 'Workplace Safety And Health For Incident And Accident Investigation', 'Risk Assessment', 'Workplace Safety And Health Control Measures', 'Workplace Safety And Health', 'Practice Supervision', 'Incident And Accident Investigation', 'Hazards Identification']","['Workplace Safety And Health Management In Chemical, Process, Pharmaceutical Industries And Laboratories']"
TGS-2013500753,"['Risk Management', 'Risk And Compliance Management', 'Workplace Safety And Health Hazard Identification And Risk Control Management', 'Risk Management And Administration', 'Risk Assessment', 'Hazard And Risk Identification And Management', 'Workplace Safety And Health Control Measures', 'Workplace Safety And Health', 'Hazards Identification']",['Workplace Safety And Health Control Measures']
TGS-2013500766,"['Workplace Safety And Health Hazard Identification And Risk Control Management', 'Workplace Safety And Health For Incident And Accident Investigation', 'Risk Assessment', 'Workplace Safety And Health Management In Chemical, Process, Pharmaceutical Industries And Laboratories', 'Workplace Safety And Health Control Measures', 'Workplace Safety And Health', 'Incident And Accident Investigation', 'Hazards Identification']","['Workplace Safety And Health Management In Chemical, Process, Pharmaceutical Industries And Laboratories']"
TGS-2013500769,"['Workplace Safety And Health Hazard Identification And Risk Control Management', 'Workplace Safety And Health For Incident And Accident Investigation', 'Risk Assessment', 'Workplace Safety And Health Management In Chemical, Process, Pharmaceutical Industries And Laboratories', 'Workplace Safety And Health Control Measures', 'Workplace Safety And Health', 'Practice Supervision', 'Incident And Accident Investigation', 'Hazards Identification']","['Workplace Safety And Health Management In Chemical, Process, Pharmaceutical Industries And Laboratories']"
TGS-2013500793,"['Workplace Safety And Health Hazard Identification And Risk Control Management', 'Workplace Safety And Health For Incident And Accident Investigation', 'Risk Assessment', 'Workplace Safety And Health Control Measures', 'Workplace Safety And Health', 'Practice Supervision', 'Incident And Accident Investigation', 'Hazards Identification']","['Workplace Safety And Health Management In Chemical, Process, Pharmaceutical Industries And Laboratories']"
TGS-2013500795,"['Valuation', 'Documentation']",['Business Negotiation']
TGS-2013500798,"['Workplace Safety And Health Management In Chemical, Process, Pharmaceutical Industries And Laboratories', 'Workplace Safety And Health']","['Workplace Safety And Health Management In Chemical, Process, Pharmaceutical Industries And Laboratories']"
TGS-2013500844,"['Valuation', 'Documentation']",['Business Negotiation']
TGS-2013500979,"['Confined Space Management', 'Perform Manhole Safety Assessment', 'Confined Space Work']",['Confined Space Management']
TGS-2013501019,"['Workplace Safety And Health Hazard Identification And Risk Control Management', 'Workplace Safety And Health For Incident And Accident Investigation', 'Risk Assessment', 'Workplace Safety And Health Control Measures', 'Workplace Safety And Health', 'Practice Supervision', 'Incident And Accident Investigation', 'Hazards Identification']","['Workplace Safety And Health Management In Chemical, Process, Pharmaceutical Industries And Laboratories']"
TGS-2013501041,"['Risk Management', 'Risk And Compliance Management', 'Risk Control And Response Planning', 'Risk Management And Administration', 'Risk Assessment', 'Hazard And Risk Identification And Management', 'Hazards Identification']",['Workplace Safety And Health Control Measures']
TGS-2013501049,['Leadership Development'],"['People Development', 'Monitor And Reward Performance In A Team To Support Achievement Of Results', 'Develop Self To Maintain Professional Competence At Supervisory Level', 'Lead Team To Develop Operational Plan', 'Lead Team To Implement Change', 'Build Team Relationships']"
TGS-2013501092,['Security Governance'],"['People Development', 'Business Presentation Delivery', 'Organisational Relationship Building', 'Vision Leadership', 'Develop Self To Maintain Professional Competence To Lead An Organisation', 'Facilitate Innovation And Lead Change At The Organisational Level', 'People And Performance Management']"
TGS-2013501121,['Noise And Vibration Monitoring'],['Noise And Vibration Monitoring']
TGS-2013501122,['Noise And Vibration Control'],['Noise And Vibration Control']
TGS-2013501279,['Asbestos Removal'],['Asbestos Risk Management']
TGS-2013501290,"['Risk Assessment', 'Asbestos Removal']",['Asbestos Removal']
TGS-2014500117,['Leadership Development'],"['Develop Self To Maintain Professional Competence At Managerial Level', 'People Development', 'Facilitate Innovation And Lead Team Leaders To Implement Change', 'Organisational Relationship Building', 'Vision Leadership', 'People And Performance Management']"
TGS-2014500118,['Leadership Development'],"['Facilitate Innovation And Lead Managers To Manage Change', 'Develop Self To Maintain Professional Competence At Senior Management Level', 'People Development', 'Foster Business Relationships And Organisational Diversity', 'People And Performance Management', 'Vision Leadership']"
TGS-2014500133,"['Workplace Safety And Health Hazard Identification And Risk Control Management', 'Risk Assessment', 'Emergency Management', 'Confined Space Management', 'Workplace Safety And Health Management In Chemical, Process, Pharmaceutical Industries And Laboratories', 'Confined Space Work', 'Workplace Safety And Health Control Measures', 'Workplace Safety And Health', 'Emergency Response Planning', 'Workplace Safety And Health For Confined Spaces', 'Hazards Identification']","['Workplace Safety And Health Management In Chemical, Process, Pharmaceutical Industries And Laboratories']"
TGS-2014500209,['Workplace Safety And Health'],['Workplace Safety And Health System Management']
TGS-2014500230,"['Health, Safety And Environment Procedures Implementation', 'Workplace Safety And Health']",['Workplace Safety And Health Performance Management']
TGS-2014500231,"['Workplace Safety And Health Control Measures', 'Workplace Safety And Health']",['Hazards Identification']
TGS-2014500233,"['Workplace Safety And Health For Incident And Accident Investigation', 'Workplace Safety And Health', 'Standard Operating Procedures Development']",['Workplace Safety And Health Policy Development']
TGS-2014500235,"['Scaffolding', 'Emergency Management', 'Workplace Safety And Health Management In Chemical, Process, Pharmaceutical Industries And Laboratories', 'Perform Formwork Activities', 'Workplace Safety And Health', 'Emergency Response Planning']",['Emergency Response Management']
TGS-2014500236,"['Incident And Accident Investigation', 'Workplace Safety And Health For Incident And Accident Investigation', 'Workplace Safety And Health']",['Workplace Safety And Health Incident Management']
TGS-2014500237,['Workplace Safety And Health'],['Workplace Safety And Health Performance Management']
TGS-2014500238,['Workplace Safety And Health'],['Workplace Safety And Health Culture Management']
TGS-2014500240,['Workplace Safety And Health'],['Workplace Safety And Health Policy Development']
TGS-2014500261,"['Workplace Safety And Health Control Measures', 'Workplace Safety And Health']",['Hazards Identification']
TGS-2014500293,['Workplace Safety And Health'],['Workplace Safety And Health Policy Development']
TGS-2014500296,['Workplace Safety And Health'],['Workplace Safety And Health Culture Management']
TGS-2014500299,"['Risk Management', 'Workplace Safety And Health Hazard Identification And Risk Control Management', 'Health, Safety And Environment Procedures Implementation', 'Organisational Risk Management', 'Workplace Safety And Health Control Measures', 'Workplace Safety And Health', 'Workplace Safety And Health Management In Construction Industry']",['Hazards Identification']
TGS-2014500300,"['Legal And Compliance Management', 'Workplace Safety And Health', 'Audit And Compliance']",['Workplace Safety And Health System Management']
TGS-2014500301,"['Incident And Accident Investigation', 'Workplace Safety And Health For Incident And Accident Investigation', 'Workplace Safety And Health']",['Workplace Safety And Health Incident Management']
TGS-2014500302,"['Scaffolding', 'Emergency Management', 'Workplace Safety And Health Management In Chemical, Process, Pharmaceutical Industries And Laboratories', 'Perform Formwork Activities', 'Workplace Safety And Health', 'Emergency Response Planning']",['Emergency Response Management']
TGS-2014500303,['Workplace Safety And Health'],['Workplace Safety And Health Performance Management']
TGS-2014500304,['Workplace Safety And Health'],['Workplace Safety And Health Culture Management']
TGS-2014500322,"['Emergency Management', 'Confined Space Work', 'Hazards Identification']",['Confined Space Management']
TGS-2014500407,['Workplace Safety And Health'],['Hazards Identification']
TGS-2014500409,['Workplace Safety And Health'],['Workplace Safety And Health Policy Development']
TGS-2014500410,['Workplace Safety And Health'],['Workplace Safety And Health System Management']
TGS-2014500411,"['Workplace Safety And Health For Incident And Accident Investigation', 'Workplace Safety And Health']",['Workplace Safety And Health Incident Management']
TGS-2014500412,['Environmental Management System Framework Development And Implementation'],['Workplace Safety And Health Audit Programme Management']
TGS-2014500413,['Emergency Response Planning'],['Emergency Response Management']
TGS-2014500414,['Workplace Safety And Health'],['Workplace Safety And Health Performance Management']
TGS-2014500417,['Workplace Safety And Health'],['Workplace Safety And Health Culture Management']
TGS-2014500447,"['Workplace Safety And Health', 'Emergency Response Planning', 'Emergency Management']",['Workplace Safety And Health System Management']
TGS-2014500452,['Data Protection Management'],['Legal Compliance Management']
TGS-2014500461,['Data Protection Management'],['Legal Compliance Management']
TGS-2014500463,['Data Protection Management'],['Legal Compliance Management']
TGS-2014500467,['Data Protection Management'],['Legal Compliance Management']
TGS-2014500504,"['Workplace Safety And Health Control Measures', 'Workplace Safety And Health']",['Workplace Safety And Health Control Measures']
TGS-2014500505,"['Workplace Safety And Health For Incident And Accident Investigation', 'Communication', 'Decision Making', 'Workplace Safety And Health Control Measures', 'Workplace Safety And Health', 'Emergency Response Planning', 'Practice Supervision']","['Emergency Response Management', 'Workplace Safety And Health Performance Management', 'Workplace Safety And Health Incident Management', 'Workplace Safety And Health System Management', 'Workplace Safety And Health Culture Management', 'Workplace Safety And Health Policy Development', 'Hazards Identification']"
TGS-2014500537,"['Risk Management', 'Workplace Safety And Health Hazard Identification And Risk Control Management', 'Workplace Safety And Health For Incident And Accident Investigation', 'Risk Control And Response Planning', 'Workplace Safety And Health', 'Incident And Accident Investigation', 'Workplace Safety And Health Management In Construction Industry']",['Workplace Safety And Health Management In Construction Industry']
TGS-2014500563,['Workplace Safety And Health'],['Workplace Safety And Health Policy Development']
TGS-2014500566,['Workplace Safety And Health'],['Risk Management']
TGS-2014500590,"['Workplace Safety And Health Management In Construction Industry', 'Workplace Safety And Health']",['Workplace Safety And Health Management In Construction Industry']
TGS-2014500596,"['Communication', 'Documentation']",['Business Presentation Delivery']
TGS-2014500606,"['Legal And Compliance Management', 'Workplace Safety And Health', 'Audit And Compliance']",['Workplace Safety And Health System Management']
TGS-2014500608,"['Workplace Safety And Health', 'Audit And Compliance']",['Workplace Safety And Health System Management']
TGS-2014500611,['Workplace Safety And Health'],['Workplace Safety And Health Policy Development']
TGS-2014500737,"['Workplace Safety And Health System Management', 'Workplace Safety And Health', 'Audit And Compliance']",['Workplace Safety And Health System Management']
TGS-2014500744,"['Risk Management', 'Workplace Safety And Health Hazard Identification And Risk Control Management', 'Workplace Safety And Health Management In Marine Industry', 'Health, Safety And Environment Procedures Implementation', 'Workplace Safety And Health Management In Chemical, Process, Pharmaceutical Industries And Laboratories', 'Organisational Risk Management', 'Workplace Safety And Health Management In Manufacturing Industry', 'Workplace Safety And Health Control Measures', 'Workplace Safety And Health', 'Workplace Safety And Health Management In Construction Industry']",['Hazards Identification']
TGS-2014500751,"['Workplace Safety And Health For Incident And Accident Investigation', 'Communication', 'Decision Making', 'Workplace Safety And Health Control Measures', 'Workplace Safety And Health', 'Emergency Response Planning', 'Incident And Accident Investigation', 'Workplace Safety And Health Management In Construction Industry']","['Emergency Response Management', 'Workplace Safety And Health Culture Management', 'Workplace Safety And Health Incident Management', 'Workplace Safety And Health System Management', 'Workplace Safety And Health Performance Management', 'Workplace Safety And Health Policy Development', 'Workplace Safety And Health Management In Construction Industry', 'Hazards Identification']"
TGS-2014500774,"['Emergency Management', 'Confined Space Management', 'Confined Space Work', 'Perform Manhole Safety Assessment', 'Hazards Identification']",['Confined Space Management']
