id,sea_skill,tp_skill
TGS-2018504621,['Metrology Management'],['Manufacturing Process Management']
TGS-2018504622,['Metrology Management'],['Metrology Management']
TGS-2018504623,['Metrology Management'],['Metrology Management']
TGS-2018504624,['Metrology Management'],['Metrology Management']
TGS-2018504625,['Metrology Management'],['Metrology Management']
TGS-2018504626,['Metrology Management'],['Metrology Management']
TGS-2018504628,"['Security Governance', 'Network Security', 'Incident Response', 'Risk Assessment']",['Cyber And Data Breach Incident Management']
TGS-2018504629,"['Network Security', 'Internet Of Things Application']",['Network Configuration']
TGS-2018504637,['Bus Vehicle Operations'],['Continuous Improvement Management']
TGS-2018504659,['Environmental Management System Framework Development And Implementation'],['Environmental Management System Framework Development And Implementation']
TGS-2018504660,"['Business Innovation', 'Cash Flow Management', 'Digital Marketing Management']",['Product Management']
TGS-2018504691,['Process Control'],['Solutioning']
TGS-2018504701,"['Digital Marketing Management', 'Marketing Mix Management']",['Integrated Marketing']
TGS-2018504707,"['Productivity Improvement', 'Change Management']",['Productivity Optimisation For Food And Beverages Operations']
TGS-2018504709,['Asian Cuisine Preparation And Cooking'],['Food Science Application']
TGS-2018504712,"['Business Analysis Management', 'Data Visualisation', 'Business Insights', 'Big Data Analytics', 'Data Engineering']",['Data Visualisation']
TGS-2018504714,"['Communication', 'Aerodynamics Principles Application']","['Apply Principles Of Turbine Aeroplane Aerodynamics, Structures And Systems (Basic)']"
TGS-2018504719,['Deterrence'],['Deterrence']
TGS-2018504726,"['Performance Management', 'Staff Performance Management']",['Conduct Staff Performance Assessment Process']
TGS-2018504728,"['Customer Experience Management', 'Customer Service Delivery']",['Customer Experience Management']
TGS-2018504746,"['Customer Relationship Management', 'Account Management']",['Customer Management']
TGS-2018504749,"['Marketing Management', 'Digital Marketing Management', 'Search Engine Optimisation (Seo)']",['Programme Management']
TGS-2018504777,['Gas Turbine Engine Principles Application'],['Apply Principles Of Gas Turbine Engine (Basic)']
